TALX,TALY,TALZ,BA,MNIX,MNIY,MNIZ
-54,-2,-24,Left-Temporalpole (38),-56,2,-31
-52,-2,-24,Left-Temporalpole (38),-54,2,-31
-50,-2,-24,Left-Temporalpole (38),-52,2,-31
-48,-2,-24,Left-Temporalpole (38),-50,2,-31
-46,-2,-24,Left-Temporalpole (38),-48,2,-31
-62,0,-24,Outside defined BAs,-64,5,-31
-60,0,-24,Outside defined BAs,-62,5,-31
-58,0,-24,Outside defined BAs,-60,5,-31
-56,0,-24,Left-Temporalpole (38),-58,5,-31
-54,0,-24,Left-Temporalpole (38),-56,5,-31
-52,0,-24,Left-Temporalpole (38),-54,5,-31
-50,0,-24,Left-Temporalpole (38),-52,4,-31
-48,0,-24,Left-Temporalpole (38),-50,4,-31
-46,0,-24,Left-Temporalpole (38),-48,4,-31
-44,0,-24,Left-Temporalpole (38),-46,4,-31
-62,2,-24,Outside defined BAs,-64,8,-31
-60,2,-24,Outside defined BAs,-62,8,-31
-58,2,-24,Outside defined BAs,-60,8,-31
-56,2,-24,Outside defined BAs,-58,8,-31
-54,2,-24,Left-Temporalpole (38),-56,8,-31
-52,2,-24,Left-Temporalpole (38),-54,8,-31
-50,2,-24,Left-Temporalpole (38),-52,8,-31
-48,2,-24,Left-Temporalpole (38),-50,7,-31
-46,2,-24,Left-Temporalpole (38),-48,7,-31
-44,2,-24,Left-Temporalpole (38),-45,7,-31
-62,4,-24,Outside defined BAs,-64,10,-31
-60,4,-24,Outside defined BAs,-62,10,-31
-58,4,-24,Outside defined BAs,-60,10,-31
-56,4,-24,Outside defined BAs,-58,10,-31
-54,4,-24,Left-Temporalpole (38),-56,10,-31
-52,4,-24,Left-Temporalpole (38),-54,10,-31
-50,4,-24,Left-Temporalpole (38),-53,10,-31
-48,4,-24,Left-Temporalpole (38),-50,10,-31
-46,4,-24,Left-Temporalpole (38),-47,10,-31
-44,4,-24,Left-Temporalpole (38),-45,9,-31
-58,6,-24,Outside defined BAs,-60,12,-31
-56,6,-24,Outside defined BAs,-58,12,-31
-54,6,-24,Outside defined BAs,-56,12,-31
-52,6,-24,Left-Temporalpole (38),-54,12,-31
-50,6,-24,Left-Temporalpole (38),-52,12,-31
-48,6,-24,Left-Temporalpole (38),-50,12,-31
-46,6,-24,Left-Temporalpole (38),-47,12,-31
